,sample,sample_2,uncorrected_dist,rep,b_s1,b_s2,b_mean,n_s1,n_s2,N_mean,subsample_mean_dist,no_strapped_dist,corrected_dist,corrected_dist_cons
75,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425995_2,0.0,83,384397,384397,384397.0,1604392,1604392,1604392.0,0.0,0.0,0.0,0.0
76,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425995_2,0.1963231838689871,83,374097,384397,379247.0,1556700,1604392,1580546.0,0.19098720086789642,0.188214453799,0.190828251336,0.193600998405
77,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425995_2,0.155699875150647,83,404199,384397,394298.0,1696485,1604392,1650438.5,0.15279519766605407,0.148225306919,0.149645052522,0.154214943269
78,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425995_2,0.101774453953326,83,409809,384397,397103.0,1722668,1604392,1663530.0,0.1003854581566337,0.097710502568,0.098389139041,0.10106409463
79,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425995_2,0.1815937846841598,83,355279,384397,369838.0,1469941,1604392,1537166.5,0.1842740935464204,0.187657112308,0.186342401744,0.182959382982
80,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425995_2,0.1480981646521714,83,393098,384397,388747.5,1644797,1604392,1624594.5,0.1499289581367253,0.148614884243,0.1477193119,0.149033385793
81,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425995_2,0.1045340688279103,83,414002,384397,399199.5,1742262,1604392,1673327.0,0.10419253044263473,0.099079422745,0.099246241204,0.104359348902
82,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425995_2,0.1676082963294307,83,416113,384397,400255.0,1752136,1604392,1678264.0,0.17550948772105088,0.175502830619,0.171644221152,0.171650878254
83,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425995_2,0.1043325550389275,83,409901,384397,397149.0,1723097,1604392,1663744.5,0.10464764090885886,0.101917125208,0.101763181357,0.104493697057
84,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425997_2,0.1975762535537361,83,404342,374097,389219.5,1697154,1556700,1626927.0,0.19456518389617272,0.192596720312,0.19406948738,0.196037950964
85,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425997_2,0.1990531944039122,83,396380,374097,385238.5,1660060,1556700,1608380.0,0.19323448174598595,0.192280041563,0.195127762451,0.196082202634
86,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425997_2,0.1959444178913549,83,405650,374097,389873.5,1703254,1556700,1629977.0,0.1981015415660081,0.201743664488,0.200688679778,0.197046556856
87,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425997_2,0.1925670540179716,83,400078,374097,387087.5,1677279,1556700,1616989.5,0.19346920809473214,0.185979478225,0.185538078875,0.193027808744
